
👨🏻自用流,#genre#
华北hddc-720p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddc_4yk720.m3u8?auth_key=1735896522-0-0-bf8a2201a719e6e84fab9bebce6ece96&cdnQuality=720p
华北hddc-1080p,http://dmon-ilp-hb.youku.com/hdd-ent/highability-hddc_4yk1080.m3u8?auth_key=1735896522-0-0-b4d8364d811a9fd662607e0068aa1540&cdnQuality=1080p
华北hdd4ka-4K,http://dmon-ilp-hb.youku.com/hdd4k-ent/highability-hdd4ka_5yk2160.m3u8?auth_key=1735896538-0-0-e455d1517b46262cf0c4b95b9f4e3e9b&cdnQuality=4k
华北hd1-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd1_4yk720.m3u8?auth_key=1735896568-0-0-5bb70d609d20da6e289ef40f0cd5578c&cdnQuality=720p
华北hd1-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd1_4yk1080.m3u8?auth_key=1735896568-0-0-38e0af943ae39ac68ff9aca43903ea90&cdnQuality=1080p
华北hd2-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd2_4yk720.m3u8?auth_key=1735896592-0-0-c9e36a2007718d9050450672ab5631b7&cdnQuality=720p
华北hd2-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd2_4yk1080.m3u8?auth_key=1735896592-0-0-401b7240340d797d0de46e4d7be594c3&cdnQuality=1080p
华北hd3-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd3_4yk720.m3u8?auth_key=1735896606-0-0-ccf16123c1941c3a87c754a7d9b45570&cdnQuality=720p
华北hd3-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd3_4yk1080.m3u8?auth_key=1735896606-0-0-17a44624afa424d90dc3fe0a4944780a&cdnQuality=1080p
华北hd4-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd4_4yk720.m3u8?auth_key=1735896626-0-0-b5922cdf547c98124a18f114a12ab969&cdnQuality=720p
华北hd4-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd4_4yk1080.m3u8?auth_key=1735896626-0-0-68a71efd5f7ceb85f3096dc5401b7821&cdnQuality=1080p
华北hd5-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd5_4yk720.m3u8?auth_key=1735896644-0-0-2a2591bf03e6624a9434e9b6064c1a66&cdnQuality=720p
华北hd5-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd5_4yk1080.m3u8?auth_key=1735896644-0-0-2cdc364f325f3a4fd2b252379eda7e4a&cdnQuality=1080p
华北hd6-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd6_4yk720.m3u8?auth_key=1735896666-0-0-f1bfd15cb84a9ff763e7ac3f89d0172e&cdnQuality=720p
华北hd6-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd6_4yk1080.m3u8?auth_key=1735896666-0-0-4856facaf289b729a8451641f88e0ec9&cdnQuality=1080p
华北hd7-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd7_4yk720.m3u8?auth_key=1735896686-0-0-2bf7d708f9afe8cf050f56b10c08d5d9&cdnQuality=720p
华北hd7-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd7_4yk1080.m3u8?auth_key=1735896686-0-0-a2ed84fa4c7f83f2f7ac1dd4bbcb1d76&cdnQuality=1080p
华北hd8-720p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd8_4yk720.m3u8?auth_key=1735896710-0-0-27548737bb999240286e1fc49b7712af&cdnQuality=720p
华北hd8-1080p,http://dmon-ilp-hb.youku.com/hd-ent/highability-hd8_4yk1080.m3u8?auth_key=1735896710-0-0-09d9d38993f28a2a72a458177cca3f61&cdnQuality=1080p


📰热点新闻央视流,#genre#
merge1,http://dno-501-1001-ilp.youku.com/t0/merge1.m3u8?auth_key=1735897308-0-0-4c0cdaf5098fcefa04161f20453b4da8&cdnQuality=orig
merge2,http://dno-501-1001-ilp.youku.com/t0/merge2.m3u8?auth_key=1735897419-0-0-d796e30a0d2da26fa5b28184bc5dd27b&cdnQuality=orig
merge3,http://dno-501-1001-ilp.youku.com/t0/merge3.m3u8?auth_key=1735897429-0-0-e6bc06685dbd19071256ab98be2d58fd&cdnQuality=orig
merge4,http://dno-501-1001-ilp.youku.com/t0/merge4.m3u8?auth_key=1735897437-0-0-6bc469f67c2a708c6e0fa0c81056e035&cdnQuality=orig
merge5,http://dno-501-1001-ilp.youku.com/t0/merge5.m3u8?auth_key=1735897449-0-0-bcc331b77748056ab2177c52204eee89&cdnQuality=orig
merge6,http://dno-501-1001-ilp.youku.com/t0/merge6.m3u8?auth_key=1735897455-0-0-a847fd1b4afdaa76804f0563329ff5ec&cdnQuality=orig
merge7,http://dno-501-1001-ilp.youku.com/t0/merge7.m3u8?auth_key=1735897465-0-0-92d3eb1cbe8f1d5caa64223a0f8fa35c&cdnQuality=orig
merge8,http://dno-501-1001-ilp.youku.com/t0/merge8.m3u8?auth_key=1735897471-0-0-039e76fcb4b595d32c7769e3083323e0&cdnQuality=orig
merge9,http://dno-501-1001-ilp.youku.com/t0/merge9.m3u8?auth_key=1735897533-0-0-e618f6bafec67d15bfd0cce8de2e13d1&cdnQuality=orig
merge10,http://dno-501-1001-ilp.youku.com/t0/merge10.m3u8?auth_key=1735897483-0-0-9276401547d2b87a5bedcd1aebffa6a6&cdnQuality=orig
merge11,http://dno-501-1001-ilp.youku.com/t0/merge11.m3u8?auth_key=1735897491-0-0-c3ed45f27c557181116eec1496a71956&cdnQuality=orig









